,name,date,fips,lat,long,confirmed,deaths,confirmed_diff,deaths_diff,state,state_abbr,lockdown_date,lockdown_plus_30,ST,STATE,COUNTY,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,percent_confirmed,percent_deaths
0,Autauga,2020-05-03,1001,32.53952745,-86.64408227,48,3,3,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Autauga,594.4434589,55200,23315,21115,8422,1065,29372,4204,8050,13369,10465,1586,13788,426,886,4279,299,1191,546,1.58297e-05,9.894e-07
1,Baldwin,2020-05-03,1003,30.72774991,-87.72207058,187,4,6,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Baldwin,1589.793007,208107,111945,78622,21653,4343,31203,14310,40665,45677,28863,4508,35339,1068,20492,13075,991,2705,3014,6.16697e-05,1.3191e-06
2,Barbour,2020-05-03,1005,31.868263,-85.3871286,45,1,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Barbour,885.0016356000001,25782,11937,9186,6597,918,18461,4901,4634,5436,5078,1174,13884,398,152,3484,313,849,2900,1.48403e-05,3.298e-07
3,Bibb,2020-05-03,1007,32.99642064,-87.12511459999996,43,0,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Bibb,622.4610887,22527,9161,6840,2863,658,20199,2650,3661,4659,3412,407,5726,57,222,2615,52,410,2091,1.41807e-05,0.0
4,Blount,2020-05-03,1009,33.98210918,-86.56790593,40,0,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Blount,644.8304602000001,57645,24222,20600,8220,909,22656,7861,10233,13468,8114,1437,7413,934,211,6108,339,856,543,1.31914e-05,0.0
5,Bullock,2020-05-03,1011,32.10030533,-85.71265535,14,0,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Bullock,622.8053677999999,10352,4526,3609,3110,490,20346,1760,1616,2150,1441,705,8124,43,76,1511,0,423,430,4.617e-06,0.0
6,Butler,2020-05-03,1013,31.75300095,-86.68057478,105,1,13,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Butler,776.8382008,20025,10026,6708,4640,567,20430,2141,3806,4566,3492,704,9641,93,134,2625,119,520,322,3.46274e-05,3.298e-07
7,Calhoun,2020-05-03,1015,33.77483727,-85.82630386,105,3,7,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Calhoun,605.8672514,115098,53682,45033,20819,4628,24706,12620,19386,25196,23598,4701,31675,1076,1990,7904,772,2599,3112,3.46274e-05,9.894e-07
8,Chambers,2020-05-03,1017,32.91360079,-85.39072749,300,21,6,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Chambers,596.5606429999999,33826,16981,13516,5531,773,22827,4383,6409,7006,5570,1307,14954,36,679,2378,404,989,512,9.89354e-05,6.9255e-06
9,Cherokee,2020-05-03,1019,34.17805983,-85.60638968,16,0,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Cherokee,553.5248315,25853,16531,10606,3827,581,23356,3692,5621,5286,5110,494,2123,99,331,4825,155,435,274,5.2766e-06,0.0
10,Chilton,2020-05-03,1021,32.85044126,-86.7173256,57,1,3,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Chilton,692.8511876,43930,19586,16751,8034,1336,24611,5302,6927,10647,7704,1722,8725,777,143,6332,453,823,403,1.87977e-05,3.298e-07
11,Choctaw,2020-05-03,1023,32.02227341,-88.26564429999998,49,0,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Choctaw,913.467075,13075,7344,5350,2864,504,22182,1754,2884,2650,3677,463,5705,51,82,2320,73,542,183,1.61594e-05,0.0
12,Clarke,2020-05-03,1025,31.68099859,-87.83548597,42,1,4,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Clarke,1238.419891,24387,12741,9358,6088,1283,21111,3175,4626,5389,4109,741,11492,30,223,3380,167,957,364,1.3851e-05,3.298e-07
13,Clay,2020-05-03,1027,33.26984193,-85.85836077,22,1,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Clay,603.960762,13378,6802,5236,2405,378,23147,2275,2652,2819,2008,509,2638,51,28,1424,48,218,250,7.2553e-06,3.298e-07
14,Cleburne,2020-05-03,1029,33.67679204,-85.52005899,12,1,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Cleburne,560.1042486,14938,6806,5726,2719,458,21989,2364,2803,3438,3331,316,1099,100,26,2062,49,231,169,3.9574e-06,3.298e-07
15,Coffee,2020-05-03,1031,31.39932826,-85.98901039,130,0,12,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Coffee,678.9858207999999,51288,23088,19789,7604,1371,27577,4833,8375,12161,8788,1928,15065,664,215,3140,272,1189,601,4.2872e-05,0.0
16,Colbert,2020-05-03,1033,34.69847452,-87.80168544,41,2,4,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Colbert,592.7446865000001,54495,26466,21799,8785,1397,24918,6016,10502,11608,10086,1791,11630,175,587,2455,83,1322,436,1.35212e-05,6.596e-07
17,Conecuh,2020-05-03,1035,31.43401703,-86.99320044,9,0,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Conecuh,850.1996364,12514,7143,4574,2752,505,17542,1703,2707,2651,2847,495,6240,0,37,2053,50,309,45,2.9681e-06,0.0
18,Coosa,2020-05-03,1037,32.93690146,-86.24847739,30,1,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Coosa,650.9103713999999,10855,6558,4103,1459,253,22963,1675,2368,1850,2364,205,3771,38,16,2015,37,182,390,9.8935e-06,3.298e-07
19,Covington,2020-05-03,1039,31.247785399999998,-86.45050893,45,1,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Covington,1030.556053,37351,18907,15008,6702,1428,23071,4530,7650,8190,7703,1358,6205,129,249,4081,320,785,666,1.48403e-05,3.298e-07
20,Crenshaw,2020-05-03,1041,31.72941803,-86.31593104,23,0,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Crenshaw,608.8646296000001,13865,6790,5025,2148,347,23353,2091,2542,3116,2888,449,3996,152,29,1854,47,332,162,7.585e-06,0.0
21,Cullman,2020-05-03,1043,34.13020303,-86.86888037,58,0,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Cullman,734.7802988,82313,37652,30730,12831,1903,22980,10405,14803,18572,14310,2057,6487,447,959,8615,555,1279,1200,1.91275e-05,0.0
22,Dale,2020-05-03,1045,31.43037123,-85.61095742,34,0,6,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Dale,561.1006284,49255,23065,18670,8798,1738,23837,4732,7939,11506,9906,1538,15250,461,277,4200,313,1023,1263,1.12127e-05,0.0
23,Dallas,2020-05-03,1047,32.32688101,-87.10866709999998,59,3,10,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Dallas,978.737527,40029,20336,16336,12247,1906,18910,5135,6705,9780,7061,2253,29005,42,299,4161,507,2205,596,1.94573e-05,9.894e-07
24,DeKalb,2020-05-03,1049,34.45946862,-85.80782906,79,2,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,DeKalb,777.0984139,71200,31462,26132,15500,1351,21004,12394,11619,17480,10931,2469,13759,2347,333,7508,745,1391,960,2.6053e-05,6.596e-07
25,Elmore,2020-05-03,1051,32.59785413,-86.14415284,103,2,10,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Elmore,618.4462511,81212,34004,29143,9462,2219,27475,7594,11770,18239,13646,2679,21741,509,895,5123,422,1364,4424,3.39678e-05,6.596e-07
26,Escambia,2020-05-03,1053,31.1256789,-87.15918694,31,2,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Escambia,945.2221437000001,37328,16595,13428,8268,1895,18161,4792,6476,8328,6505,1140,14848,172,173,2907,268,657,2830,1.02233e-05,6.596e-07
27,Etowah,2020-05-03,1055,34.04567266,-86.04051873,143,10,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Etowah,535.2816213000001,102939,47705,38777,17524,2945,24065,11147,18877,22281,19976,3443,22565,1184,1484,5228,462,2441,1340,4.71592e-05,3.2978e-06
28,Fayette,2020-05-03,1057,33.72076938,-87.73886638,6,0,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Fayette,627.6834307,16585,8470,6947,3258,483,21862,2060,3392,3562,4207,510,2543,0,176,1886,79,483,328,1.9787e-06,0.0
29,Franklin,2020-05-03,1059,34.44235334,-87.84289505,132,0,32,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Franklin,633.9182505,31542,14152,11210,6299,840,19776,4835,5100,7806,4866,971,7229,1508,484,2460,366,567,255,4.35316e-05,0.0
30,Geneva,2020-05-03,1061,31.09389027,-85.83572839,10,0,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Geneva,574.4802646,26491,12768,10479,6282,945,20471,3891,5152,5856,5616,985,4256,146,37,3629,202,573,249,3.2978e-06,0.0
31,Greene,2020-05-03,1063,32.85504247,-87.95684022,58,1,3,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Greene,647.0228053,8426,5075,2955,3225,415,14209,1406,1716,1862,2104,295,6981,0,292,1954,92,442,63,1.91275e-05,3.298e-07
32,Hale,2020-05-03,1065,32.76039258,-87.63284988,52,2,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Hale,643.9822717999999,14887,7777,5658,3809,686,20272,1647,2717,3481,3088,599,8989,10,220,2789,182,704,199,1.71488e-05,6.596e-07
33,Henry,2020-05-03,1067,31.51148016,-85.24267944,27,1,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Henry,561.7500782000001,17124,9096,6669,2270,494,24069,2412,3696,3587,3145,474,5319,51,71,2358,52,369,311,8.9042e-06,3.298e-07
34,Houston,2020-05-03,1069,31.15197924,-85.29939599,95,4,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Houston,579.8690621000001,104352,47187,39253,18913,3354,25990,10261,17615,24386,18385,4080,34526,581,2403,6473,487,2438,938,3.13295e-05,1.3191e-06
35,Jackson,2020-05-03,1071,34.78144169,-85.99750489,50,2,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Jackson,1077.986767,52094,25106,20626,10418,1277,21608,6526,9972,11159,9712,1525,5557,219,354,4912,446,940,660,1.64892e-05,6.596e-07
36,Jefferson,2020-05-03,1073,33.55554728,-86.89506300000002,969,48,23,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Jefferson,1111.381173,659892,307372,260924,109707,23663,30657,46025,99146,151658,101363,27115,329030,7591,42510,9044,3921,19981,16008,0.0003195613,1.58297e-05
37,Lamar,2020-05-03,1075,33.77995024,-88.09668032,11,0,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Lamar,604.8460173999999,13933,7390,5974,2916,465,21666,1741,2938,3065,3364,314,1952,4,30,1361,100,426,188,3.6276e-06,0.0
38,Lauderdale,2020-05-03,1077,34.90171875,-87.65624729,61,2,5,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Lauderdale,668.0128629,92585,44792,38514,13703,2267,27189,7979,17876,18522,13503,2923,14084,504,2357,4083,475,2698,2209,2.01169e-05,6.596e-07
39,Lawrence,2020-05-03,1079,34.52041498,-87.31069453,14,0,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Lawrence,690.6840635,33171,15373,12811,5508,766,23557,4919,5787,7232,6750,937,7781,62,128,3458,195,705,232,4.617e-06,0.0
40,Lee,2020-05-03,1081,32.60154883,-85.35132246,400,28,3,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Lee,607.5503974999999,159287,68081,59373,32815,4411,26960,9049,17739,34202,20764,5970,51892,1759,8399,10877,1851,2739,5897,0.0001319138,9.234e-06
41,Limestone,2020-05-03,1083,34.81185586,-86.98310072,45,0,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Limestone,559.955192,93052,36069,32126,12384,2957,27699,10123,13723,21412,14690,2435,21498,837,1297,4536,588,1171,2872,1.48403e-05,0.0
42,Lowndes,2020-05-03,1085,32.1597283,-86.65158371,71,1,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Lowndes,715.9108603999999,10236,5187,4180,2820,450,19491,1588,1828,2330,2536,625,7731,6,10,1898,71,562,97,2.34147e-05,3.298e-07
43,Macon,2020-05-03,1087,32.38759944,-85.69267724,40,2,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Macon,608.827146,19054,10274,7637,4302,1006,20125,2215,3542,3411,3253,799,16082,0,256,1950,99,989,2301,1.31914e-05,6.596e-07
44,Madison,2020-05-03,1089,34.76327133,-86.55069633,234,4,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Madison,801.5829707,357560,159299,145256,45960,10632,35526,21617,51308,79195,46042,11785,125445,3762,16210,7081,1939,7103,8842,7.71696e-05,1.3191e-06
45,Marengo,2020-05-03,1091,32.24767634,-87.78796182,58,3,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Marengo,976.8922062,19538,10325,7768,4201,706,23056,2192,3690,4468,4821,545,10747,10,149,2537,57,805,236,1.91275e-05,9.894e-07
46,Marion,2020-05-03,1093,34.13697363,-87.88704173,83,6,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Marion,742.3415443,29965,14867,12212,5144,708,21391,4343,6219,6316,7651,960,2406,145,171,3321,266,568,504,2.73721e-05,1.9787e-06
47,Marshall,2020-05-03,1095,34.36975964,-86.30486727,342,7,8,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Marshall,565.8447822,95145,40630,34896,20354,2091,23833,12151,15941,23654,14599,3207,17848,3549,660,6000,912,1675,1030,0.0001127863,2.3085e-06
48,Mobile,2020-05-03,1097,30.78472347,-88.20842409,1198,62,26,1,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Mobile,1229.3692429999999,414659,183164,155831,78208,11514,25215,38247,63650,98337,57257,16849,177672,2858,16422,14083,3108,10391,8948,0.0003950819,2.04466e-05
49,Monroe,2020-05-03,1099,31.56729412,-87.36995001,13,1,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Monroe,1025.668249,21512,11398,8149,6561,1359,18890,2409,4060,4920,2928,681,9823,18,134,2576,51,900,249,4.2872e-06,3.298e-07
50,Montgomery,2020-05-03,1101,32.2206831,-86.20969272,409,7,30,1,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Montgomery,785.2999995,226941,104355,89835,45479,8243,28008,21646,32183,53669,35915,11549,148548,3047,8771,4327,1651,7595,6912,0.0001348819,2.3085e-06
51,Morgan,2020-05-03,1103,34.45500589,-86.85475946,74,0,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Morgan,579.389645,119122,51951,45646,17920,2815,25907,13706,19865,27384,19687,4170,28625,2348,2715,5771,1098,2415,1865,2.44041e-05,0.0
52,Perry,2020-05-03,1105,32.64048341,-87.29770589,15,0,5,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Perry,719.6557576,9486,4751,3079,3616,326,13678,1275,1764,2069,2349,354,6688,26,156,981,81,436,803,4.9468e-06,0.0
53,Pickens,2020-05-03,1107,33.28094866,-88.08818103,55,2,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Pickens,881.4298763,20298,9557,7530,4430,842,22417,2829,3729,4002,4626,613,9373,323,132,2269,92,731,1543,1.81382e-05,6.596e-07
54,Pike,2020-05-03,1109,31.80396383,-85.9408295,75,0,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Pike,672.067488,33403,16077,11547,8374,1226,21137,3660,4886,6539,5680,1111,14638,458,624,3536,179,899,1912,2.47338e-05,0.0
55,Randolph,2020-05-03,1111,33.29526734,-85.45708831,77,4,3,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Randolph,580.5491197000001,22574,12056,8643,3912,451,23247,3340,4512,4914,3193,706,5583,58,197,2832,253,605,489,2.53934e-05,1.3191e-06
56,Russell,2020-05-03,1113,32.28725256,-85.18415324,61,0,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Russell,641.1523375,58213,27426,22740,11491,2000,22055,6495,7776,14358,10638,2604,30859,560,890,4266,713,2230,574,2.01169e-05,0.0
57,St. Clair,2020-05-03,1115,33.71902176,-86.31029372,76,0,3,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,St. Clair,631.6030046,87306,36628,32172,11268,2188,24861,9255,13891,19998,14055,2319,12197,391,619,8772,277,979,2200,2.50636e-05,0.0
58,Shelby,2020-05-03,1117,33.26879845,-86.66232561,327,13,3,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Shelby,785.3750191,211261,86077,78328,17557,4411,36576,11258,30125,50611,23579,4696,46203,3147,6573,6867,875,2305,2989,0.0001078396,4.2872e-06
59,Sumter,2020-05-03,1119,32.59117397,-88.19916205,77,3,5,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Sumter,903.8257528999999,12985,6858,5047,3792,580,15882,1238,2198,2522,2797,462,9784,47,392,2094,65,667,897,2.53934e-05,9.894e-07
60,Talladega,2020-05-03,1121,33.37823223,-86.16886178,65,2,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Talladega,736.7818207,80565,37669,31407,15401,3004,22498,10671,13757,17348,14937,3259,29910,378,859,8898,407,2466,3408,2.1436e-05,6.596e-07
61,Tallapoosa,2020-05-03,1123,32.86698258,-85.79833053,295,18,5,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Tallapoosa,716.5214702999999,40636,22310,16448,8131,1755,23655,5581,8274,8574,7624,1641,12636,92,746,4029,496,1477,616,9.72864e-05,5.9361e-06
62,Tuscaloosa,2020-05-03,1125,33.28726072,-87.52556818,218,2,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Tuscaloosa,1320.858496,206213,90576,72379,34058,6257,26064,14748,25685,43176,24594,7725,78446,1827,14413,8858,1183,4166,10271,7.1893e-05,6.596e-07
63,Walker,2020-05-03,1127,33.80270512,-87.30027177,99,0,2,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Walker,791.0017928999999,64493,31057,25036,12525,2375,22772,8606,12024,14353,15390,1875,7018,372,320,9092,492,1434,905,3.26487e-05,0.0
64,Washington,2020-05-03,1129,31.4092794,-88.20689944,38,2,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Washington,1080.205426,16643,8509,6007,3446,517,22776,2243,3038,3703,4053,459,5808,84,1,2628,186,221,142,1.25318e-05,6.596e-07
65,Wilcox,2020-05-03,1131,31.98773215,-87.30891118,72,3,1,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Wilcox,888.4496912999999,10809,5728,3804,3254,530,16584,1662,1985,2642,1939,278,7908,68,13,2312,36,612,256,2.37445e-05,9.894e-07
66,Winston,2020-05-03,1133,34.15030532,-87.37325922,16,0,0,0,Alabama,AL,2020-04-03,2020-05-03,1,ALABAMA,Winston,612.9789792,23875,13649,9403,3817,740,21799,3755,5027,4992,5935,684,1447,112,253,3746,100,666,375,5.2766e-06,0.0
67,Anchorage,2020-04-26,2020,61.14998174,-149.14269860000005,168,4,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Anchorage,1706.40205,296112,116493,106524,26498,8982,39839,11867,29492,73197,31569,10370,122903,6608,13334,5271,4813,6206,7438,5.54038e-05,1.3191e-06
68,Bethel,2020-04-26,2050,60.90980451,-159.8561831,1,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Bethel,40629.05678,18040,6027,4558,4871,1381,19760,1798,1284,6447,1892,755,16246,440,218,210,1613,2573,851,3.298e-07,0.0
69,Fairbanks North Star,2020-04-26,2090,64.80726247,-146.5692662,80,1,1,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Fairbanks North Star,7329.514944,99653,44059,36513,7749,3526,36374,3381,9124,24155,10490,3283,29465,589,3254,1904,2158,1560,4242,2.63828e-05,3.298e-07
70,Juneau,2020-04-26,2110,58.45031811,-134.200436,27,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Juneau City and Borough,2703.862174,32330,13586,12521,2514,1072,43276,878,3877,6982,3741,714,11307,352,1592,847,555,1127,631,8.9042e-06,0.0
71,Kenai Peninsula,2020-04-26,2122,60.24429722,-151.53888840000005,19,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Kenai Peninsula,16023.30449,58220,31150,21741,6827,2176,33820,2902,9092,13279,8307,1707,11266,292,901,1761,969,1435,1686,6.2659e-06,0.0
72,Ketchikan Gateway,2020-04-26,2130,55.57445008,-130.975561,16,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Ketchikan Gateway,4856.871175,13804,6343,5327,1433,499,34900,701,1950,3080,1972,533,4966,157,843,203,233,601,284,5.2766e-06,0.0
73,Kodiak Island,2020-04-26,2150,57.65529415,-153.7493579,1,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Kodiak Island,6615.3636369999995,13649,5405,4373,1243,381,32516,889,1248,3574,1661,551,6896,762,579,265,399,411,333,3.298e-07,0.0
74,Matanuska-Susitna,2020-04-26,2170,62.31305045,-149.5741743,20,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Matanuska-Susitna,24713.779580000002,103464,41756,30879,10476,4536,30943,5068,11030,28102,13360,2514,21244,816,812,1380,1559,1010,1956,6.5957e-06,0.0
75,Nome,2020-04-26,2180,64.90320724,-164.0353804,1,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Nome,22971.95794,9925,4078,2875,2221,733,22293,872,742,3404,967,609,8461,129,121,41,876,1639,534,3.298e-07,0.0
76,Petersburg,2020-04-26,2195,57.13978948,-132.9540995,3,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Petersburg,2900.613586,3255,1762,1170,267,70,33227,219,701,734,601,99,1205,39,74,185,35,185,77,9.894e-07,0.0
77,Prince of Wales-Hyder,2020-04-26,2198,55.76261984,-133.0511621,2,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Prince of Wales-Hyder,5262.769238,6474,3428,2356,972,385,27236,440,960,1538,1386,226,3538,2,75,512,141,255,105,6.596e-07,0.0
78,Southeast Fairbanks,2020-04-26,2240,63.87692095,-143.2127643,1,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Southeast Fairbanks,24822.76282,6876,3909,2163,730,330,32409,436,886,1866,1152,127,1770,221,106,216,200,114,326,3.298e-07,0.0
79,Yukon-Koyukuk,2020-04-26,2290,65.50815459,-151.3907387,1,0,0,0,Alaska,AK,2020-03-27,2020-04-26,2,ALASKA,Yukon-Koyukuk,145573.8328,5415,4087,1906,1350,491,22386,496,739,1498,802,291,4255,7,20,120,311,985,303,3.298e-07,0.0
80,Apache,2020-04-29,4001,35.39465006,-109.4892383,392,5,12,0,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Apache,11197.46794,71522,32809,20395,24761,2505,14499,9085,10420,19831,10427,2223,58420,3759,182,7525,2663,2460,1348,0.0001292756,1.6489e-06
81,Cochise,2020-04-29,4003,31.87934684,-109.7516088,38,0,1,0,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Cochise,6164.570481000001,126279,60883,49250,20192,3342,25436,11215,26550,27796,19874,4180,56567,5408,3949,12749,1058,2733,8991,1.25318e-05,0.0
82,Coconino,2020-04-29,4005,35.83883429,-111.77071780000001,453,42,14,4,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Coconino,18618.66589,140217,65438,47276,24168,5390,26387,8515,16259,29647,16525,3532,64397,2869,4878,8568,3210,2368,13597,0.0001493924,1.3851e-05
83,Gila,2020-04-29,4007,33.80190085,-110.8132779,12,0,1,0,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Gila,4757.993914,53400,33411,21708,11807,2052,22939,5718,14783,10849,11687,1744,20065,892,307,7065,875,1277,962,3.9574e-06,0.0
84,Graham,2020-04-29,4009,32.93166885,-109.8882178,10,0,1,0,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Graham,4622.697818,37879,13416,10782,7122,1329,18113,3379,5012,10333,4414,1155,18593,855,343,3538,659,630,4208,3.2978e-06,0.0
85,Greenlee,2020-04-29,4011,33.21498827,-109.2405279,2,0,0,0,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Greenlee,1841.9772269999999,9504,4435,3225,1115,282,25349,658,1155,2639,1230,352,5030,252,55,1268,118,92,94,6.596e-07,0.0
86,La Paz,2020-04-29,4012,33.72854224,-113.98100290000001,8,1,1,0,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,La Paz,4499.6269950000005,20701,16274,8912,4507,562,21845,3606,7847,3413,4631,634,8728,762,192,8564,466,617,212,2.6383e-06,3.298e-07
87,Maricopa,2020-04-29,4013,33.34835867,-112.49181540000001,3723,140,145,18,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Maricopa,9199.246764,4253913,1719157,1520767,618496,117059,31697,354513,615277,1042245,469151,146130,1885037,204723,255508,87453,69332,93549,53377,0.001227788,4.61698e-05
88,Mohave,2020-04-29,4015,35.70471703,-113.7577902,105,7,6,3,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Mohave,13311.061029999999,206064,113876,85485,35296,6954,24829,22957,59337,36884,45731,6544,46157,3549,4618,31111,3230,4551,3325,3.46274e-05,2.3085e-06
89,Navajo,2020-04-29,4017,35.3997715,-110.3218983,682,18,17,0,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Navajo,9949.884917,108705,57753,34407,30163,5791,18333,11963,18351,29680,19010,3659,63632,3415,938,12604,3014,3334,2857,0.0002249131,5.9361e-06
90,Pima,2020-04-29,4019,32.0971334,-111.7890033,1215,80,27,4,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Pima,9187.218652,1019722,456962,400907,176222,36219,28480,79230,190252,218448,151924,37502,488573,40444,61823,47173,15325,33547,29753,0.0004006883,2.63828e-05
91,Pinal,2020-04-29,4021,32.90525627,-111.3449483,387,11,22,2,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Pinal,5365.836412,419721,171368,137286,55859,12785,23653,41961,80907,98104,59854,11401,179852,13357,3800,32765,5022,5973,26513,0.0001276266,3.6276e-06
92,Santa Cruz,2020-04-29,4023,31.52508998,-110.8479088,31,0,0,0,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Santa Cruz,1236.9214789999999,46584,18255,15430,11080,1565,20324,7127,7891,12872,5750,1976,39656,5661,906,1059,772,805,415,1.02233e-05,0.0
93,Yavapai,2020-04-29,4025,34.59933926,-112.5538588,79,1,2,0,Arizona,AZ,2020-03-30,2020-04-29,4,ARIZONA,Yavapai,8123.507458,224645,115213,96007,30813,6076,28829,16623,66850,37771,40778,5067,43418,3349,3624,22235,2265,3747,4971,2.6053e-05,3.298e-07
